id	sym	wt_1	wt_2	wt_3	IFNgR_KO_1	IFNgR_KO_2	IFNgR_KO_3
ENSMUSG00000032783	Troap	58	49	184	92	112	81
ENSMUSG00000032786	Alas1	3069	2201	1602	1972	3563	2470
ENSMUSG00000032788	Pdxk	2747	2004	1943	2919	4875	3468
ENSMUSG00000032802	Srxn1	1776	1515	1150	1661	2595	2075
ENSMUSG00000032803	Cdv3	2534	1873	2366	2267	3718	2747
ENSMUSG00000032806	Slc10a3	776	643	420	710	1128	759
ENSMUSG00000032812	Arap1	6356	4870	3277	5360	8667	6237
ENSMUSG00000032815	Fanca	478	370	656	311	520	424
ENSMUSG00000032826	Ank2	183	193	1231	183	224	187
ENSMUSG00000032827	Ppp1r9a	126	113	880	108	212	138
ENSMUSG00000032834	Pwp2	1303	853	1075	1228	1991	1475
ENSMUSG00000032839	Trpc1	3	3	33	7	3	3
ENSMUSG00000032840	2410131K14Rik	383	294	420	392	548	397
ENSMUSG00000032841	Prr5l	1009	772	358	411	723	741
ENSMUSG00000032842	Abcc10	100	98	112	100	164	122
ENSMUSG00000032845	Alpk2	80	49	41	37	64	111
ENSMUSG00000032846	Zswim6	2411	1794	1125	1672	3073	2108
ENSMUSG00000032849	Abcc4	896	836	686	580	1158	798
ENSMUSG00000032850	Rnft2	8	22	45	26	31	27
ENSMUSG00000032854	Ugt8a	3	6	44	4	4	1
ENSMUSG00000032855	Pkd1	1399	1026	1577	1212	2254	1759
ENSMUSG00000032860	P2ry2	719	471	290	496	907	450
ENSMUSG00000032867	Fbxw8	2445	1980	2562	2510	3846	3022
ENSMUSG00000032869	Psmf1	534	523	572	573	855	553
ENSMUSG00000032870	Smap2	1124	1059	607	923	1701	1273
ENSMUSG00000032872	Cyb5r4	1979	1601	1199	1435	2933	1844
ENSMUSG00000032875	Arhgef17	45	33	232	49	71	53
ENSMUSG00000032883	Acsl3	500	388	2262	614	957	715
ENSMUSG00000032892	Rangrf	14	3	10	17	21	17
ENSMUSG00000032897	Nfyc	373	353	332	314	600	374
ENSMUSG00000032898	Fbxo21	462	403	912	502	893	545
ENSMUSG00000032902	Slc16a1	1640	1199	2284	1304	2113	1322
ENSMUSG00000032905	Atg12	1190	887	651	799	1604	850
ENSMUSG00000032911	Cspg4	8	2	52	11	14	6
ENSMUSG00000032913	Lrig2	913	611	872	705	1304	766
ENSMUSG00000032915	Adgre4	585	289	144	278	510	233
ENSMUSG00000032932	Hspa13	2084	1697	1623	1713	3212	2107
ENSMUSG00000032939	Nup93	1126	989	1176	1056	1761	1294
ENSMUSG00000032940	Rbm11	5	4	10	3	2	3
ENSMUSG00000032942	Ucp3	6	4	4	1	13	7
ENSMUSG00000032946	Rasgrp2	259	167	83	144	346	159
ENSMUSG00000032952	Ap4b1	674	500	583	545	951	608
ENSMUSG00000032959	Pebp1	761	520	976	769	1089	844
ENSMUSG00000032965	Ift57	319	216	217	222	344	190
ENSMUSG00000032966	Fkbp1a	976	956	961	987	1653	1190
ENSMUSG00000032977	Fam207a	1008	771	744	958	1324	1076
ENSMUSG00000032997	Chpf	139	121	1114	226	225	183
ENSMUSG00000032998	Foxj3	741	724	678	696	1400	897
ENSMUSG00000033004	Mycbp2	5345	4539	2591	2664	6152	4482
ENSMUSG00000033006	Sox10	250	272	3166	424	477	343
ENSMUSG00000033009	Ogfod1	608	434	502	545	1109	669
ENSMUSG00000033014	Trim33	1601	1226	1253	1006	2323	1318
ENSMUSG00000033016	Nfatc1	396	365	245	401	709	468
ENSMUSG00000033020	Polr2f	641	545	862	722	970	798
ENSMUSG00000033021	Gmppa	1238	964	1027	1221	1830	1290
ENSMUSG00000033022	Cdo1	12	12	8	6	23	15
ENSMUSG00000033029	1700088E04Rik	5	1	17	5	12	2
ENSMUSG00000033031	C330027C09Rik	553	450	1040	557	1033	626
ENSMUSG00000033032	Afap1l1	35	19	38	102	130	131
ENSMUSG00000033033	Calhm2	458	346	344	393	742	574
ENSMUSG00000033039	Micall1	524	391	624	444	761	551
ENSMUSG00000033047	Eif3l	4198	3202	4118	3931	6472	4808
ENSMUSG00000033054	Npat	785	717	882	586	1204	829
ENSMUSG00000033055	Ankrd54	427	269	454	363	537	552
ENSMUSG00000033059	Pygb	2224	1865	2537	2722	4129	2920
ENSMUSG00000033060	Lmo7	34	39	329	38	33	36
ENSMUSG00000033065	Pfkm	188	155	459	184	262	187
ENSMUSG00000033066	Gas7	4186	2835	2176	3799	7222	5327
ENSMUSG00000033068	Entpd6	480	351	539	389	750	442
ENSMUSG00000033075	Senp1	1170	913	1099	825	1595	1079
ENSMUSG00000033082	Clec1a	46	42	10	23	42	16
ENSMUSG00000033083	Tbc1d4	628	335	672	951	1603	1589
ENSMUSG00000033088	Triobp	1068	937	981	757	1297	931
ENSMUSG00000033096	Apmap	954	733	708	935	1657	1056
ENSMUSG00000033099	Nol12	472	429	411	461	772	601
ENSMUSG00000033102	Cdc14b	245	140	312	229	347	269
ENSMUSG00000033105	Lss	719	558	1552	539	956	919
ENSMUSG00000033106	Slc7a6os	540	304	413	388	784	419
ENSMUSG00000033107	Rnf125	37	5	2	5	29	13
ENSMUSG00000033111	3830406C13Rik	654	514	379	489	1072	533
ENSMUSG00000033114	Slc35d2	311	261	139	260	393	317
ENSMUSG00000033124	Atg9a	919	536	910	665	1213	697
ENSMUSG00000033126	Ybey	87	127	132	135	236	161
ENSMUSG00000033128	Gga1	1121	1089	1069	1197	1934	1373
ENSMUSG00000033147	Slc22a15	296	113	75	112	319	166
ENSMUSG00000033149	Phldb2	30	33	209	27	57	31
ENSMUSG00000033152	Podxl2	5	15	167	30	27	30
ENSMUSG00000033157	Abhd10	428	265	337	272	517	246
ENSMUSG00000033159	Cnppd1	2192	1445	1048	1481	2743	1758
ENSMUSG00000033161	Atp1a1	21619	16088	33043	19042	29634	21674
ENSMUSG00000033166	Dis3	862	678	1146	798	1333	855
ENSMUSG00000033170	Card10	18	6	4	14	40	10
ENSMUSG00000033174	Mgll	97	50	294	79	102	68
ENSMUSG00000033184	Tmed7	7302	5559	4472	5636	11216	6589
ENSMUSG00000033186	Mzt1	678	495	600	463	1002	478
ENSMUSG00000033192	Lpcat2	2292	2255	1750	1686	3061	2296
ENSMUSG00000033207	Mamdc2	38	14	6	9	20	15
ENSMUSG00000033208	S100b	81	46	567	103	65	50
ENSMUSG00000033209	Ttc28	58	65	166	105	147	129
ENSMUSG00000033213	AA467197	1611	1712	602	512	1048	1000
ENSMUSG00000033216	Eefsec	560	497	1314	587	826	639
ENSMUSG00000033220	Rac2	3814	3611	2037	3677	6327	4431
ENSMUSG00000033222	Ttf2	761	613	1004	774	1270	953
ENSMUSG00000033227	Wnt6	22	36	21	29	37	32
ENSMUSG00000033228	Scaf11	3909	3465	3624	2809	5394	3297
